Crops,Year,Cost_Production,Domastic_Price,International_Price,MSP
Cotton,2010-11,29096.96,4256.5,5032,2500
Cotton,2011-12,36586.47,4371,6454.75,2800
Cotton,2012-13,41330.47,4103.75,4414.25,3600
Cotton,2013-14,45832.1,4490.75,4916.75,3700
Cotton,2014-15,50953.4,4712.75,4956.5,3750
Cotton,2015-16,52621.34,4199.25,4196,3800
Cotton,2016-17,53363.48,4696,4605.25,3860
Cotton,2017-18,54521.26,5024,4949.5,4020
Cotton,2018-19,56476.63,5190,5891.5,5150
Cotton,2019-20,56974.21,5437.75,6793,5255
Cotton,2020-21,57421.87,4707.5,4840.25,5515
