Crops,Year,Cost_Production,Domastic_Price,International_Price,MSP
Jowar,2010-11,13646.01,1155.5,1211.75,880
Jowar,2011-12,16318.13,1281.75,1247.5,980
Jowar,2012-13,17726.55,1137.5,1357.75,1500
Jowar,2013-14,21011.97,1286.75,1423.25,1500
Jowar,2014-15,22152.67,1439.75,1264.25,1530
Jowar,2015-16,22789.32,1734,1255.5,1570
Jowar,2016-17,23664.7,2207.75,1072.25,1625
Jowar,2017-18,31842.04,2260,1036.25,1700
Jowar,2018-19,32565.89,2411.5,1147.5,2430
Jowar,2019-20,34665.11,2508,1137.5,2550
Jowar,2020-21,34989.2,2332.5,1276.5,2620
