Crops,Year,Cost_Production,Domastic_Price,International_Price,MSP
Maize,2010-11,17784.71,1420.75,1650,880
Maize,2011-12,21275.88,1136.75,1352.75,980
Maize,2012-13,25874.31,1257.25,1595,1175
Maize,2013-14,29254.46,1400.25,1506,1310
Maize,2014-15,35400.06,1318.5,1176.5,1310
Maize,2015-16,37452.65,1378.5,1088.25,1325
Maize,2016-17,38546.36,1496.5,1069.75,1365
Maize,2017-18,39351.99,1456.25,1006.75,1425
Maize,2018-19,42568.84,1147.25,1124.25,1700
Maize,2019-20,42987.89,1921.25,1197,1760
Maize,2020-21,43741.21,1454,1224.75,1850
