Crops,Year,Cost_Production,Domastic_Price,International_Price,MSP
Moong,2010-11,10321.8,4088,4821.25,3170
Moong,2011-12,12515.81,4221.5,5151.5,3500
Moong,2012-13,15366.75,4550.5,4820,4400
Moong,2013-14,16453.26,5390.75,5435.25,4500
Moong,2014-15,16611.9,6505.75,6982.5,4600
Moong,2015-16,18792.5,7371.25,7440,4850
Moong,2016-17,20260.83,6037,6153.75,5225
Moong,2017-18,20429,4861.5,5362.75,5575
Moong,2018-19,20987.21,4968.25,5923.75,6975
Moong,2019-20,21361.87,5460.75,6611.5,7050
Moong,2020-21,22001.23,6637.75,8097.25,7196
