Crops,Year,Cost_Production,Domastic_Price,International_Price,MSP
Rice,2010-11,24177.27,1089.25,1880.25,1000
Rice,2011-12,28465.85,1809.75,2359,1080
Rice,2012-13,32570.32,1136.75,1948,1250
Rice,2013-14,34917.67,1396,1843.25,1310
Rice,2014-15,40123.75,1488.75,1563.5,1360
Rice,2015-16,41734.53,1405.25,1600,1410
Rice,2016-17,42248.49,1456,1501,1470
Rice,2017-18,47153.36,1580,1575.75,1550
Rice,2018-19,49594.84,1582.5,1711,1750
Rice,2019-20,51321.74,1673,1701.5,1815
Rice,2020-21,53112.21,1778.25,1802.75,1867
