Crops,Year,Cost_Production,Domastic_Price,International_Price,MSP
Tur(Arhar),2010-11,15202.56,3031.5,4315.5,3000
Tur(Arhar),2011-12,15903.11,3455.25,4264.25,3200
Tur(Arhar),2012-13,19344.47,3246.5,4179.5,3850
Tur(Arhar),2013-14,21741.36,3792,3859.25,4300
Tur(Arhar),2014-15,24568.68,4315.5,4377,4350
Tur(Arhar),2015-16,28785.95,6863.75,8113.75,4625
Tur(Arhar),2016-17,30003.51,6993,7517.5,5050
Tur(Arhar),2017-18,30251.16,3985.5,3903.5,5450
Tur(Arhar),2018-19,31547.89,3844.75,3769,5675
Tur(Arhar),2019-20,32015.28,4925.25,5049.25,5800
Tur(Arhar),2020-21,32897.65,5146.25,5511.5,6000
